backCamImage,frontCamImage,numberFrontCam,numberBackCam,vehicleNumberUser,vehicleTypeUser,vehicleRfid,metroText,serial,numberFrontCam1
1,2023-07-17/64cf8dc6-3540-4a01-8a26-8a4d92cded0e_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 0A 15 09 53 00 01 ,,,-1
2,2023-07-17/624aca35-dad5-4320-8387-b337024cacce_f.jpg,২০-৯৬১৪,-1,209614,Sedan Car,42 52 54 41 FF 02 0F 14 25 8E 00 01 ,,,২০-৯৬১৪
3,2023-07-17/bc5d9486-fe95-4e5e-a0cc-0f7420c9048b_f.jpg,,-1,1,Sedan Car,42 52 54 41 FF 02 0F 22 1E 56 00 01 ,,,
4,2023-07-17/71713212-89f4-4488-8cba-4e1ede0860ac_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 06 50 00 01 ,,,-1
5,2023-07-17/5987c8c7-6b97-4f18-9fca-adea00273f60_f.jpg,১-৪৩১০,-1,1310,Microbus,42 52 54 41 FF 02 1E 0D 08 22 00 01 ,,,১-৪৩১০
6,2023-07-17/c8e97d99-84af-4fc5-a524-37d7447c3733_f.jpg,-1,,NULL,NULL,42 52 54 41 FF 02 19 10 03 D3 00 01 ,,,-1
7,2023-07-17/879efedb-1c81-4ed0-ab7e-073d3bbfcec1_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 0A 0F 13 86 00 01 ,,,-1
8,2023-07-17/71f23b23-742f-431f-a42b-b6b3de1130e5_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 19 14 07 16 00 01 ,,,-1
9,2023-07-17/2b623b44-2cd0-4bef-af66-a2133985d659_f.jpg,"৫ ""`৫৭3",-1,5573,Big Bus,42 52 54 41 FF 02 1E 0F 21 7C 00 01 ,,,"৫ ""`৫৭3"
10,2023-07-17/e8b815c6-e2d9-4601-a86a-51282c2fe872_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 19 10 01 B8 00 01 ,,,-1
11,2023-07-17/55a36281-5cd5-4c6d-88e1-4fb736b20f13_f.jpg,২২-১১০০,-1,221100,Sedan Car,42 52 54 41 FF 02 0F 16 04 4C 00 01 ,,,২২-১১০০
12,2023-07-17/861173a5-ff89-4065-bc48-4cc5cece643b_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 02 1E 0F 25 AD 00 01 ,,,-1
13,2023-07-17/6a3a2e02-238e-4c92-8e53-5564e81794b6_f.jpg,-1,-1,1,Heavy Truck,42 52 54 41 FF 02 18 29 01 F7 00 01 ,,,-1
14,2023-07-17/f412d291-7a5c-463f-a326-5f1fa180e140_f.jpg,,-1,1,Microbus,42 52 54 41 FF 06 14 0C 16 DB 00 01 ,,,
15,2023-07-17/a9925a5d-98c9-4fe2-a05b-e55de837afe7_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 0B 0B 13 BD 00 01 ,,,-1
16,2023-07-17/7df02e9b-d93b-42de-9c62-e2176428ba22_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 08 0B 0B 04 4B 00 01 ,,,-1
17,2023-07-17/b1226ae2-23f5-4e3a-aeca-339d44266f0d_f.jpg,৩০-৮৫8০,-1,308540,Sedan Car,42 52 54 41 FF 02 0F 25 21 5C 00 01 ,,,৩০-৮৫8০
18,2023-07-17/3e43d527-a822-4d56-b752-2dc46dd0985e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 15 26 AA 00 01 ,,,-1
19,2023-07-17/7350417e-c518-4fea-be0f-1ec23add8e0b_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 02 13 3E 04 4E 00 01 ,,,-1
20,2023-07-17/4b660fee-15cc-47fe-8c03-0b991e67f2fe_f.jpg,-1,-1,1,Mini Bus/Coster,42 52 54 41 FF 02 1D 0E 00 98 00 01 ,,,-1
21,2023-07-17/23bcee23-58c3-4656-903d-aa989d37a0cc_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 14 0B 21 AE 00 01 ,,,-1
22,2023-07-17/bb13c60b-c45c-407d-9450-701d03339670_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 02 1A 0F 1F FD 00 01 ,,,-1
23,2023-07-17/f4d1d5ce-921a-4349-a9b4-85cd4caf534e_f.jpg,১৪ ১৯৪৪,-1,119,Medium Truck,42 52 54 41 FF 02 08 0E 08 C4 00 01 ,,,১৪ ১৯৪৪
24,2023-07-17/7d05e19c-246d-4793-816f-8a0214746591_f.jpg,২৯-১৭২৫,-1,NULL,NULL,42 52 54 41 FF 02 0F 1D 06 BD 00 01 ,,,২৯-১৭২৫
25,2023-07-17/f25c9abd-27c5-45cd-9e0a-2133e3051392_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 14 0C 06 F0 00 01 ,,,-1
26,2023-07-17/7c62aedb-6d51-4d8b-aceb-3dd24c33366b_f.jpg,২১ং০৯১২,-1,NULL,NULL,42 52 54 41 FF 02 0A 15 03 90 00 01 ,,,২১ং০৯১২
27,2023-07-17/534733bb-866a-43c6-ac96-3bb7ad2cb2d8_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 19 13 1C 6A 00 01 ,,,-1
28,2023-07-17/c47be6a6-f98e-45a9-ac0c-cf273e30402f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 19 35 1A A9 00 01 ,,,-1
29,2023-07-17/0e2f2bac-e1b6-4fac-8d0d-d03a8a09007d_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 02 0F 23 1E AC 00 01 ,,,-1
30,2023-07-17/9c135492-cbb9-4331-baf9-bb8bf43fb034_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 14 0A 0B 04 C3 00 01 ,,,-1
31,2023-07-17/f024edab-d45a-40d7-83e7-2cc831ed1187_f.jpg,ঢুকটরো,-1,,Microbus,42 52 54 41 FF 37 14 0C 03 3B 00 01 ,,,ঢুকটরো
32,2023-07-17/4d6e30fa-c2ac-4e23-af1a-0ceb6af2cfd0_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 0A 13 0B 31 00 01 ,,,-1
33,2023-07-17/dfe15779-a53f-458e-ae8e-99679dd87ea3_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 14 24 B7 00 01 ,,,-1
34,2023-07-17/84416832-a7f0-4641-8cde-3722004c2182_f.jpg,,-1,1,Microbus,42 52 54 41 FF 02 13 32 00 DC 00 01 ,,,
35,2023-07-17/6716b505-cac5-45d8-9efc-9c44582f1e2b_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 24 13 0B 18 31 00 01 ,,,-1
36,2023-07-17/4ff081e4-e9ab-4531-a0b1-806720347698_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 02 1E 0F 16 36 00 01 ,,,-1
37,2023-07-17/d29c26ad-10c5-4c9b-9c93-542eb9193ffd_f.jpg,১৬-৪১৬১,-1,16161,Sedan Car,42 52 54 41 FF 02 0F 10 10 41 00 01 ,,,১৬-৪১৬১
38,2023-07-17/4c175a94-fa3f-45f2-9610-f1bf18a6567b_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 13 0B 1F ED 00 01 ,,,-1
