frontCamImage,numberFrontCam,numberBackCam,vehicleNumberUser,vehicleTypeUser,vehicleRfid
21.jpg,2023-07-17/f25c9abd-27c5-45cd-9e0a-2133e3051392_f.jpg,-1,-1,NULL,42 52 54 41 FF 37 14 0C 06 F0 00 01 
22.jpg,2023-07-17/7c62aedb-6d51-4d8b-aceb-3dd24c33366b_f.jpg,২১ং০৯১২,-1,NULL,42 52 54 41 FF 02 0A 15 03 90 00 01 
23.jpg,2023-07-17/534733bb-866a-43c6-ac96-3bb7ad2cb2d8_f.jpg,-1,-1,Microbus,42 52 54 41 FF 02 19 13 1C 6A 00 01 
24.jpg,2023-07-17/c47be6a6-f98e-45a9-ac0c-cf273e30402f_f.jpg,-1,-1,NULL,42 52 54 41 FF 02 19 35 1A A9 00 01 
25.jpg,2023-07-17/0e2f2bac-e1b6-4fac-8d0d-d03a8a09007d_f.jpg,-1,-1,Medium Truck,42 52 54 41 FF 02 0F 23 1E AC 00 01 
26.jpg,2023-07-17/9c135492-cbb9-4331-baf9-bb8bf43fb034_f.jpg,-1,-1,4 Wheelers,42 52 54 41 FF 14 0A 0B 04 C3 00 01 
27.jpg,2023-07-17/f024edab-d45a-40d7-83e7-2cc831ed1187_f.jpg,ঢুকটরো,-1,Microbus,42 52 54 41 FF 37 14 0C 03 3B 00 01 
28.jpg,2023-07-17/4d6e30fa-c2ac-4e23-af1a-0ceb6af2cfd0_f.jpg,-1,-1,Motorcycle,42 52 54 41 FF 02 0A 13 0B 31 00 01 
29.jpg,2023-07-17/dfe15779-a53f-458e-ae8e-99679dd87ea3_f.jpg,-1,-1,NULL,42 52 54 41 FF 02 09 14 24 B7 00 01 
30.jpg,2023-07-17/84416832-a7f0-4641-8cde-3722004c2182_f.jpg,,-1,Microbus,42 52 54 41 FF 02 13 32 00 DC 00 01 
